City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Faanui,-16.4833,-151.75,78.85,74,16,27.02,PF,1659015519
1,Øksfjord,70.2396,22.3479,55.47,83,96,8.25,NO,1659015519
2,Padang,-0.9492,100.3543,79.02,87,85,4.05,ID,1659015519
3,Nikolskoye,59.7035,30.7861,71.49,56,94,6.82,RU,1659015519
4,Vaini,-21.2,-175.2,73.56,94,75,5.75,TO,1659015520
5,Lagoa,39.05,-27.9833,71.94,79,8,5.39,PT,1659015520
6,Ngunguru,-35.6167,174.5,50.85,84,2,9.55,NZ,1659015520
7,Barrow,71.2906,-156.7887,33.06,97,100,12.66,US,1659015521
8,Ati,13.2154,18.3353,89.87,44,100,9.01,TD,1659015521
9,Albany,42.6001,-73.9662,80.28,70,6,3.22,US,1659015521
10,Ushuaia,-54.8,-68.3,44.26,65,100,10.36,AR,1659015521
11,Afuá,-0.1567,-50.3867,86.45,59,6,4.61,BR,1659015522
12,Yulara,-25.2406,130.9889,51.66,24,100,9.57,AU,1659015522
13,Rikitea,-23.1203,-134.9692,73.44,65,0,20.54,PF,1659015522
14,Gladstone,-23.85,151.25,53.53,82,1,5.75,AU,1659015523
15,Hobart,-42.8794,147.3294,44.46,80,100,5.75,AU,1659015523
16,Ribeira Grande,38.5167,-28.7,79.2,61,20,10.36,PT,1659015523
17,Óbidos,-1.9175,-55.5181,87.71,53,47,4.9,BR,1659015515
18,Mar del Plata,-38.0023,-57.5575,48.22,95,75,18.41,AR,1659015352
19,Bluff,-46.6,168.3333,47.8,77,100,10.74,NZ,1659015524
20,Vila Franca do Campo,37.7167,-25.4333,81.19,65,0,3.6,PT,1659015524
21,Majholi,23.5,79.9167,79.84,89,100,6.6,IN,1659015524
22,Pontianak,-0.0333,109.3333,80.58,88,40,3.44,ID,1659015524
23,Buala,-8.145,159.5921,79.41,83,41,8.28,SB,1659015525
24,Port Alfred,-33.5906,26.891,69.19,76,12,8.01,ZA,1659015525
25,Hithadhoo,-0.6,73.0833,81.59,77,99,12.77,MV,1659015525
26,Thompson,55.7435,-97.8558,57.36,77,20,2.3,CA,1659015526
27,Solnechnyy,50.7214,136.6319,67.17,93,100,2.82,RU,1659015526
28,Ust'-Koksa,50.2696,85.6108,65.08,60,80,0.63,RU,1659015526
29,Arraial do Cabo,-22.9661,-42.0278,80.56,57,0,9.22,BR,1659015526
30,Touros,-5.1989,-35.4608,82.42,65,20,16.04,BR,1659015230
31,Hermanus,-34.4187,19.2345,69.8,61,0,5.48,ZA,1659015527
32,Muravlenko,63.7898,74.523,70.43,49,16,12.68,RU,1659015527
33,Cabo San Lucas,22.8909,-109.9124,80.51,75,16,4.59,MX,1659015527
34,Lockhart,28.6194,-81.4426,85.08,71,0,9.22,US,1659015528
35,Hofn,64.2539,-15.2082,51.82,93,100,5.75,IS,1659015528
36,Saint-Philippe,-21.3585,55.7679,74.79,78,52,8.88,RE,1659015528
37,Geraldton,-28.7667,114.6,59.41,88,95,9.22,AU,1659015529
38,Clyde River,70.4692,-68.5914,37.63,100,100,12.66,CA,1659015529
39,Portland,45.5234,-122.6762,68.86,80,20,4.61,US,1659015322
40,Busselton,-33.65,115.3333,62.6,82,18,16.6,AU,1659015530
41,Dikson,73.5069,80.5464,43.86,96,100,15.28,RU,1659015530
42,Kaitangata,-46.2817,169.8464,43.83,92,100,8.81,NZ,1659015530
43,Nanortalik,60.1432,-45.2371,44.76,80,15,8.5,GL,1659015531
44,Laas,46.6166,10.7002,77.68,81,88,5.5,IT,1659015531
45,Zabul Province,32.25,67.25,74.07,66,100,10.89,AF,1659015531
46,Punta Arenas,-53.15,-70.9167,39.31,87,75,17.27,CL,1659015318
47,Torbay,47.6666,-52.7314,73.89,76,40,4.61,CA,1659015532
48,Butaritari,3.0707,172.7902,81.93,73,100,15.61,KI,1659015532
49,Nizwá,22.9333,57.5333,87.3,54,29,10.76,OM,1659015532
50,Salalah,17.0151,54.0924,78.89,89,75,11.5,OM,1659015527
51,Carnarvon,-24.8667,113.6333,70.52,59,100,8.03,AU,1659015533
52,New Norfolk,-42.7826,147.0587,44.1,82,68,1.99,AU,1659015533
53,San Cristobal,7.7669,-72.225,68.18,69,90,5.35,VE,1659015533
54,Iqaluit,63.7506,-68.5145,49.73,76,100,2.3,CA,1659015534
55,Te Anau,-45.4167,167.7167,41.11,98,100,1.32,NZ,1659015534
56,Garissa,-0.4536,39.6401,87.15,37,76,19.98,KE,1659015534
57,Mataura,-46.1927,168.8643,47.48,98,100,2.77,NZ,1659015534
58,Cape Town,-33.9258,18.4232,70.21,48,0,16.11,ZA,1659015398
59,Kaminokawa,36.4333,139.9167,78.1,90,100,3.24,JP,1659015535
60,La Puebla de Cazalla,37.2216,-5.3115,94.01,20,0,7.47,ES,1659015535
61,Acapulco de Juárez,16.8634,-99.8901,76.82,88,75,0.0,MX,1659015510
62,Talnakh,69.4865,88.3972,61.21,56,11,11.39,RU,1659015535
63,Hilo,19.7297,-155.09,76.28,88,20,5.75,US,1659015290
64,Atuona,-9.8,-139.0333,76.77,75,60,24.07,PF,1659015536
65,Bethel,41.3712,-73.414,81.48,81,75,4.61,US,1659015536
66,Jamestown,42.097,-79.2353,77.02,74,100,12.66,US,1659015536
67,Biak,-0.9131,122.8766,75.24,87,86,6.11,ID,1659015537
68,Bredasdorp,-34.5322,20.0403,71.83,44,0,7.58,ZA,1659015537
69,Terre Haute,39.4667,-87.4139,75.47,89,20,3.44,US,1659015537
70,Calmar,53.2668,-113.8187,67.55,88,40,5.75,CA,1659015537
71,Corowa,-36.0333,146.3833,41.41,91,8,6.98,AU,1659015538
72,Narsaq,60.9167,-46.05,55.62,54,8,6.91,GL,1659015538
73,Cherskiy,68.75,161.3,46.33,64,100,6.42,RU,1659015538
74,Río Gallegos,-51.6226,-69.2181,41.05,60,100,24.16,AR,1659015539
75,Mossamedes,-15.1961,12.1522,74.03,68,40,5.75,AO,1659015539
76,Sofia,42.6975,23.3242,82.09,51,40,8.05,BG,1659015539
77,Humenné,48.9371,21.9163,87.55,40,12,6.49,SK,1659015539
78,Mansfield,53.1333,-1.2,72.0,65,100,3.0,GB,1659015540
79,Keşan,40.8558,26.6303,93.87,22,0,20.6,TR,1659015540
80,Saint Paul Harbor,57.79,-152.4072,51.31,62,0,5.75,US,1659015540
81,Avarua,-21.2078,-159.775,73.45,94,75,14.97,CK,1659015541
82,Lebu,-37.6167,-73.65,49.78,79,0,7.27,CL,1659015541
83,Port Lincoln,-34.7333,135.8667,53.87,81,99,14.32,AU,1659015541
84,Havre-St-Pierre,50.2334,-63.5986,62.96,77,100,11.5,CA,1659015541
85,Kavieng,-2.5744,150.7967,82.92,77,99,18.77,PG,1659015542
86,Chui,-33.6971,-53.4616,54.52,95,100,12.39,UY,1659015542
87,Port-Gentil,-0.7193,8.7815,82.36,65,40,11.5,GA,1659015542
88,Pevek,69.7008,170.3133,39.85,77,93,5.75,RU,1659015543
89,Hong Kong,22.2855,114.1577,89.38,77,97,11.01,HK,1659015526
90,Porto-Novo,6.4965,2.6036,80.42,64,100,15.19,BJ,1659015543
91,Morant Bay,17.8815,-76.4093,83.71,78,2,7.09,JM,1659015543
92,Belmonte,-15.8631,-38.8828,74.73,66,66,3.4,BR,1659015544
93,Iquique,-20.2208,-70.1431,59.04,69,6,5.77,CL,1659015544
94,Saskylakh,71.9167,114.0833,67.75,54,100,3.74,RU,1659015532
95,Yuncheng,35.0231,110.9928,79.18,58,0,5.66,CN,1659015544
96,Rocha,-34.4833,-54.3333,51.82,95,100,13.8,UY,1659015545
97,Belaya Gora,68.5333,146.4167,47.05,60,25,9.82,RU,1659015545
98,São Filipe,14.8961,-24.4956,80.15,81,53,8.68,CV,1659015545
99,Bud,39.447,-86.1758,77.76,86,100,4.52,US,1659015546
100,Kuusamo,65.9667,29.1833,57.24,72,100,8.05,FI,1659015546
101,Broome,42.2506,-75.833,79.09,80,46,5.99,US,1659015546
102,Newark,40.7357,-74.1724,83.44,82,75,8.05,US,1659015476
103,Kahului,20.8947,-156.47,76.84,69,0,11.5,US,1659015540
104,Windhoek,-22.5594,17.0832,75.69,16,0,16.11,NA,1659015547
105,Arlit,18.7369,7.3853,103.37,20,88,10.11,NE,1659015547
106,Paita,-5.0892,-81.1144,65.68,78,63,12.68,PE,1659015547
107,Upernavik,72.7868,-56.1549,41.56,82,100,1.28,GL,1659015548
108,Noumea,-22.2763,166.4572,60.78,77,1,5.01,NC,1659015548
109,Qaanaaq,77.484,-69.3632,38.68,72,12,0.85,GL,1659015548
110,Souillac,-20.5167,57.5167,71.98,73,40,10.36,MU,1659015549
111,Athabasca,54.7169,-113.2854,59.41,80,0,6.26,CA,1659015549
112,Puerto Ayora,-0.7393,-90.3518,70.61,88,100,11.9,EC,1659015549
113,South Valley,35.0101,-106.6781,73.83,63,75,8.05,US,1659015334
